"doy","rain","dt","temp","radiation","RH","wind","lat","long","elev","height"
51.91,0,0.01,18.7555555555556,3.071,82.5,1.33333333333333,14.24,102.69,295,2.5
51.92,0,0.01,18.5333333333333,2.80922222222222,83.1222222222222,1.28888888888889,14.24,102.69,295,2.5
51.93,0,0.01,18.4333333333333,3.79116666666667,83.25,2.16666666666667,14.24,102.69,295,2.5
51.94,0,0.01,18.3333333333333,2.54744444444444,83.8444444444444,1.28888888888889,14.24,102.69,295,2.5
51.95,0,0.01,18.2888888888889,3.20211111111111,83.6888888888889,2.12222222222222,14.24,102.69,295,2.5
51.96,0,0.01,18.1222222222222,2.54722222222222,83.9888888888889,2.3,14.24,102.69,295,2.5
51.97,0,0.01,18.0222222222222,2.94022222222222,84.1555555555556,3.12222222222222,14.24,102.69,295,2.5
51.98,0,0.01,17.9444444444444,2.94011111111111,84.1555555555556,2.65555555555556,14.24,102.69,295,2.5
51.99,0,0.01,17.8666666666667,2.67822222222222,84.2777777777778,2.73333333333333,14.24,102.69,295,2.5
52,0,0.01,17.5777777777778,3.46377777777778,84.8777777777778,1.8,14.24,102.69,295,2.5
52.01,0,0.01,17.4333333333333,3.3985,85.1833333333333,2.21666666666667,14.24,102.69,295,2.5
52.02,0,0.01,17.3444444444444,2.54733333333333,85.1444444444444,2.66666666666667,14.24,102.69,295,2.5
52.03,0,0.01,17.2333333333333,2.54733333333333,85.3666666666667,2.11111111111111,14.24,102.69,295,2.5
52.04,0,0.01,17.1555555555556,3.72577777777778,85.4777777777778,2,14.24,102.69,295,2.5
52.05,0,0.01,17.1555555555556,7.20177777777778,85.4555555555556,2.28888888888889,14.24,102.69,295,2.5
52.06,0,0.01,17.3222222222222,17.495,85.0222222222222,1.4,14.24,102.69,295,2.5
52.07,0,0.01,17.7555555555556,34.9824444444444,83.9444444444444,1.76666666666667,14.24,102.69,295,2.5
52.08,0,0.01,18.5111111111111,58.5527777777778,82.0222222222222,1.21111111111111,14.24,102.69,295,2.5
52.09,0,0.01,19.5111111111111,92.0394444444444,79.6888888888889,0.933333333333333,14.24,102.69,295,2.5
52.1,0,0.01,20.6333333333333,120.226833333333,76.5166666666667,1.71666666666667,14.24,102.69,295,2.5
52.11,0,0.01,21.5222222222222,139.359111111111,73.8666666666667,2.76666666666667,14.24,102.69,295,2.5
52.12,0,0.01,22.5444444444444,161.846,71.3,3.97777777777778,14.24,102.69,295,2.5
52.13,0,0.01,23.1888888888889,220.597444444444,68.7666666666667,4.66666666666667,14.24,102.69,295,2.5
52.14,0,0.01,24.2,277.825444444444,65.2222222222222,5.2,14.24,102.69,295,2.5
52.15,0,0.01,24.9555555555556,317.057222222222,62.2777777777778,6.34444444444444,14.24,102.69,295,2.5
52.16,0,0.01,25.4111111111111,370.566222222222,60.4,8.24444444444445,14.24,102.69,295,2.5
52.17,0,0.01,25.7555555555556,356.433222222222,58.7888888888889,8.18888888888889,14.24,102.69,295,2.5
52.18,0,0.01,25.9833333333333,422.999,58.5833333333333,9.18333333333333,14.24,102.69,295,2.5
52.19,0,0.01,26.3555555555556,453.801,58.8888888888889,10.6666666666667,14.24,102.69,295,2.5
52.2,0,0.01,26.7333333333333,512.924777777778,59.4666666666667,11.2111111111111,14.24,102.69,295,2.5
52.21,0,0.01,27.3444444444444,549.907,57.5666666666667,8,14.24,102.69,295,2.5
52.22,0,0.01,27.9,518.568333333333,56.2666666666667,7.26666666666667,14.24,102.69,295,2.5
52.23,0,0.01,27.7555555555556,447.609777777778,57.1888888888889,7.64444444444444,14.24,102.69,295,2.5
52.24,0,0.01,27.7444444444444,464.073666666667,58,8.62222222222222,14.24,102.69,295,2.5
52.25,0,0.01,28.1777777777778,467.914666666667,56.5,7.44444444444444,14.24,102.69,295,2.5
52.26,0,0.01,28.6333333333333,586.914833333333,55.25,8.8,14.24,102.69,295,2.5
52.27,0,0.01,28.9888888888889,501.856666666667,54.4888888888889,7.1,14.24,102.69,295,2.5
52.28,0,0.01,28.9333333333333,491.294111111111,54.2777777777778,9.47777777777778,14.24,102.69,295,2.5
52.29,0,0.01,29.2222222222222,599.604111111111,53.1111111111111,9.62222222222222,14.24,102.69,295,2.5
52.3,0,0.01,29.3333333333333,458.315666666667,53.8333333333333,4.38888888888889,14.24,102.69,295,2.5
52.31,0,0.01,29.6333333333333,495.352777777778,51.7666666666667,9.86666666666667,14.24,102.69,295,2.5
52.32,0,0.01,29.5777777777778,445.749444444444,51.3444444444444,6.78888888888889,14.24,102.69,295,2.5
52.33,0,0.01,29.8222222222222,485.239666666667,50.8111111111111,7.24444444444444,14.24,102.69,295,2.5
52.34,0,0.01,30.4,651.120666666667,49.1555555555556,9.16666666666667,14.24,102.69,295,2.5
52.35,0,0.01,30.5333333333333,556.651166666667,49.9333333333333,7.11666666666667,14.24,102.69,295,2.5
52.36,0,0.01,30.6222222222222,574.973111111111,49.4666666666667,7.35555555555556,14.24,102.69,295,2.5
52.37,0,0.01,30.5777777777778,446.234444444444,48.9555555555556,10.7111111111111,14.24,102.69,295,2.5
52.38,0,0.01,30.4666666666667,408.307666666667,48.9222222222222,7.15555555555556,14.24,102.69,295,2.5
52.39,0,0.01,30.0444444444444,346.807555555556,50.1222222222222,9.31111111111111,14.24,102.69,295,2.5
52.4,0,0.01,30.0333333333333,390.280777777778,50.6,8.27777777777778,14.24,102.69,295,2.5
52.41,0,0.01,30.2222222222222,389.236333333333,50.0444444444444,6.5,14.24,102.69,295,2.5
52.42,0,0.01,30.4444444444444,327.076111111111,49.9,7.7,14.24,102.69,295,2.5
52.43,0,0.01,30.2833333333333,277.528,50.15,7.66666666666667,14.24,102.69,295,2.5
52.44,0,0.01,29.4555555555556,175.777777777778,52.1777777777778,7.41111111111111,14.24,102.69,295,2.5
52.45,0,0.01,29.5111111111111,175.467,51.9555555555556,7.68888888888889,14.24,102.69,295,2.5
52.46,0,0.01,29.6444444444444,163.935333333333,51.3444444444444,4.84444444444444,14.24,102.69,295,2.5
52.47,0,0.01,29.6444444444444,142.369111111111,51.1888888888889,4.87777777777778,14.24,102.69,295,2.5
52.48,0,0.01,29.3222222222222,98.8516666666667,51.6666666666667,5.9,14.24,102.69,295,2.5
52.49,0,0.01,29.0333333333333,67.7937777777778,52.7333333333333,4.45555555555556,14.24,102.69,295,2.5
52.5,0,0.01,28.7444444444444,44.8347777777778,53.9111111111111,2.5,14.24,102.69,295,2.5
52.51,0,0.01,28.4666666666667,25.6651666666667,55.4833333333333,1.4,14.24,102.69,295,2.5
52.52,0,0.01,27.6,12.0586666666667,57.8111111111111,2.25555555555556,14.24,102.69,295,2.5
52.53,0,0.01,26.6333333333333,5.69,61.3222222222222,2.74444444444444,14.24,102.69,295,2.5
52.54,0,0.01,25.9333333333333,3.46377777777778,63.8333333333333,4.03333333333333,14.24,102.69,295,2.5
52.55,0,0.01,25.7,2.80911111111111,65.3777777777778,4.1,14.24,102.69,295,2.5
52.56,0,0.01,25.3777777777778,2.80922222222222,66.9888888888889,2.87777777777778,14.24,102.69,295,2.5
52.57,0,0.01,24.9222222222222,3.46388888888889,68.3333333333333,4.07777777777778,14.24,102.69,295,2.5
52.58,0,0.01,24.5555555555556,3.98777777777778,68.8333333333333,4,14.24,102.69,295,2.5
52.59,0,0.01,24.3222222222222,3.59477777777778,70.2444444444444,5.71111111111111,14.24,102.69,295,2.5
52.6,0,0.01,24.0833333333333,3.0055,71.2,3.03333333333333,14.24,102.69,295,2.5
52.61,0,0.01,23.9333333333333,3.98766666666667,71.4888888888889,3.88888888888889,14.24,102.69,295,2.5
52.62,0,0.01,23.9666666666667,3.071,71.0444444444445,2.94444444444444,14.24,102.69,295,2.5
52.63,0,0.01,23.9555555555556,2.67833333333333,70.8444444444444,2.65555555555556,14.24,102.69,295,2.5
52.64,0,0.01,23.9222222222222,3.33277777777778,70.9666666666667,3.41111111111111,14.24,102.69,295,2.5
52.65,0,0.01,23.7111111111111,3.59477777777778,71.0666666666667,6.61111111111111,14.24,102.69,295,2.5
52.66,0,0.01,23.4,1.76177777777778,71.5555555555556,7.11111111111111,14.24,102.69,295,2.5
52.67,0,0.01,23.2333333333333,3.071,71.3888888888889,6.97777777777778,14.24,102.69,295,2.5
52.68,0,0.01,23.0666666666667,3.3985,70.8333333333333,6.53333333333333,14.24,102.69,295,2.5
52.69,0,0.01,22.8222222222222,4.38044444444444,70.9222222222222,8.12222222222222,14.24,102.69,295,2.5
52.7,0,0.01,22.4555555555556,3.33288888888889,71.0888888888889,6.74444444444444,14.24,102.69,295,2.5
52.71,0,0.01,22.1777777777778,2.94022222222222,71.7555555555556,8.16666666666667,14.24,102.69,295,2.5
52.72,0,0.01,21.9555555555556,3.20188888888889,72.7555555555556,5.03333333333333,14.24,102.69,295,2.5
52.73,0,0.01,21.7111111111111,2.67822222222222,72.9555555555555,6.76666666666667,14.24,102.69,295,2.5
52.74,0,0.01,21.5111111111111,2.94011111111111,73.2111111111111,5.22222222222222,14.24,102.69,295,2.5
52.75,0,0.01,21.3,3.07122222222222,73.1,7.91111111111111,14.24,102.69,295,2.5
52.76,0,0.01,21.1166666666667,3.59483333333333,72.6,7.73333333333333,14.24,102.69,295,2.5
52.77,0,0.01,21.0222222222222,2.54744444444444,73.1777777777778,5.71111111111111,14.24,102.69,295,2.5
52.78,0,0.01,20.8222222222222,2.02355555555556,73.1111111111111,6.54444444444444,14.24,102.69,295,2.5
52.79,0,0.01,20.5888888888889,2.54722222222222,73.6,7.3,14.24,102.69,295,2.5
52.8,0,0.01,20.3333333333333,2.28555555555556,73.6555555555556,7.67777777777778,14.24,102.69,295,2.5
52.81,0,0.01,20.0777777777778,2.28544444444444,73.9111111111111,6.75555555555556,14.24,102.69,295,2.5
52.82,0,0.01,19.8666666666667,2.02355555555556,74.0888888888889,6.58888888888889,14.24,102.69,295,2.5
52.83,0,0.01,19.7222222222222,3.72577777777778,74.5222222222222,4.37777777777778,14.24,102.69,295,2.5
52.84,0,0.01,19.4333333333333,3.59488888888889,75.4111111111111,5.93333333333333,14.24,102.69,295,2.5
52.85,0,0.01,19.1833333333333,2.21983333333333,76.1333333333333,7.16666666666667,14.24,102.69,295,2.5
52.86,0,0.01,19.0555555555556,3.59477777777778,76.0555555555556,5.4,14.24,102.69,295,2.5
52.87,0,0.01,18.7777777777778,2.15455555555556,76.5777777777778,4.9,14.24,102.69,295,2.5
52.88,0,0.01,18.5222222222222,1.76166666666667,77.2666666666667,3.94444444444444,14.24,102.69,295,2.5
52.89,0,0.01,18.4111111111111,3.071,77.8444444444444,3.52222222222222,14.24,102.69,295,2.5
52.9,0,0.01,18.1666666666667,3.33288888888889,78.7666666666667,5.3,14.24,102.69,295,2.5
52.91,0,0.01,18.0333333333333,2.15455555555556,78.9,5.22222222222222,14.24,102.69,295,2.5
52.92,0,0.01,17.9,3.59477777777778,78.9666666666667,4.14444444444444,14.24,102.69,295,2.5
52.93,0,0.01,17.8666666666667,3.3985,78.5833333333333,5.98333333333333,14.24,102.69,295,2.5
52.94,0,0.01,17.7777777777778,3.071,78.5222222222222,4.25555555555556,14.24,102.69,295,2.5
52.95,0,0.01,17.5444444444444,2.54733333333333,79.7333333333333,2.33333333333333,14.24,102.69,295,2.5
52.96,0,0.01,17.4222222222222,2.94022222222222,80.3333333333333,4.08888888888889,14.24,102.69,295,2.5
52.97,0,0.01,17.4555555555556,2.67811111111111,80.0555555555556,3.44444444444444,14.24,102.69,295,2.5
52.98,0,0.01,17.4111111111111,2.94011111111111,80.2666666666667,3.33333333333333,14.24,102.69,295,2.5
52.99,0,0.01,17.2666666666667,3.071,80.7,4.16666666666667,14.24,102.69,295,2.5
53,0,0.01,17.1111111111111,2.15455555555556,80.8666666666667,4.41111111111111,14.24,102.69,295,2.5
53.01,0,0.01,17.0166666666667,3.59466666666667,81,4.7,14.24,102.69,295,2.5
53.02,0,0.01,17.1333333333333,3.07111111111111,80.4555555555556,4.47777777777778,14.24,102.69,295,2.5
53.03,0,0.01,17.3666666666667,3.72588888888889,80.0111111111111,4.02222222222222,14.24,102.69,295,2.5
53.04,0,0.01,17.4444444444444,2.94011111111111,79.8888888888889,4.48888888888889,14.24,102.69,295,2.5
53.05,0,0.01,17.4444444444444,5.63044444444444,79.9888888888889,2.97777777777778,14.24,102.69,295,2.5
53.06,0,0.01,17.4,17.7965555555556,80.1222222222222,3.48888888888889,14.24,102.69,295,2.5
53.07,0,0.01,17.6444444444444,36.2956666666667,79.4,2.54444444444444,14.24,102.69,295,2.5
53.08,0,0.01,18.0222222222222,64.9567777777778,77.9555555555555,4.96666666666667,14.24,102.69,295,2.5
53.09,0,0.01,18.6666666666667,93.0828888888889,76.1888888888889,6.28888888888889,14.24,102.69,295,2.5
53.1,0,0.01,19.2833333333333,123.571833333333,74.0166666666667,5.4,14.24,102.69,295,2.5
53.11,0,0.01,19.8888888888889,144.049333333333,71.8888888888889,7.14444444444444,14.24,102.69,295,2.5
53.12,0,0.01,20.3222222222222,165.695666666667,69.9777777777778,7.33333333333333,14.24,102.69,295,2.5
53.13,0,0.01,20.6777777777778,182.465333333333,69.0888888888889,6.01111111111111,14.24,102.69,295,2.5
53.14,0,0.01,21.0555555555556,230.546333333333,68.1555555555556,7.2,14.24,102.69,295,2.5
53.15,0,0.01,21.8555555555556,280.837555555556,65.8333333333333,7.23333333333333,14.24,102.69,295,2.5
53.16,0,0.01,22.2,327.926555555556,64.3777777777778,7.61111111111111,14.24,102.69,295,2.5
53.17,0,0.01,22.8,358.739,62.6333333333333,9.23333333333333,14.24,102.69,295,2.5
53.18,0,0.01,23,389.269333333333,61.9333333333333,8.86666666666667,14.24,102.69,295,2.5
53.19,0,0.01,23.4111111111111,419.009888888889,61.0888888888889,8.06666666666667,14.24,102.69,295,2.5
53.2,0,0.01,23.5111111111111,436.235777777778,60.2444444444444,8.98888888888889,14.24,102.69,295,2.5
